Date,microstructure,adhesion,scaffold,tissue engineering,polymer,regeneration,nanoparticles,hydrogel,chitosan,bone
2017-03,48,25,33,33,61,77,71,66,0,100
2017-04,50,26,23,0,54,61,69,68,70,82
2017-05,0,45,23,0,86,66,73,0,0,79
2017-06,0,35,0,0,47,43,61,0,0,64
2017-07,0,21,25,0,26,44,80,0,0,72
2017-08,7,4,6,9,28,22,26,9,5,41
2017-09,6,12,6,9,34,28,32,0,4,46
2017-10,18,14,8,8,35,30,36,8,4,52
2017-11,13,12,14,7,31,45,52,9,4,55
2017-12,23,13,5,8,39,40,29,0,0,46
2018-01,6,15,5,11,29,36,28,0,4,44
2018-02,12,16,8,4,37,36,40,0,4,46
2018-03,11,10,9,12,41,23,43,15,0,46
2018-04,17,22,12,4,28,27,56,0,0,42
2018-05,8,11,10,9,39,27,45,7,8,36
2018-06,0,14,7,10,33,21,19,8,8,35
2018-07,10,7,10,4,33,25,32,9,4,35
2018-08,10,9,3,7,27,24,28,14,4,34
2018-09,8,19,11,4,35,32,38,7,5,45
2018-10,7,19,6,6,48,46,40,0,3,48
2018-11,15,19,12,3,43,35,41,6,9,46
