Date,microstructure,adhesion,scaffold,tissue engineering,polymer,regeneration,nanoparticles,hydrogel,chitosan,bone
2009-11,29,50,46,22,42,50,83,26,30,50
2009-12,16,46,43,25,37,35,75,38,12,41
2010-01,19,38,34,25,40,36,79,22,19,45
2010-02,30,54,41,26,45,55,87,32,20,52
2010-03,24,51,42,23,40,37,93,28,22,54
2010-04,19,47,40,19,40,43,97,32,22,45
2010-05,24,47,34,16,37,40,85,24,19,41
2010-06,16,42,45,17,37,35,87,8,26,37
2010-07,18,40,31,32,30,31,73,15,23,37
2010-08,17,33,27,22,34,28,77,29,26,37
2010-09,18,54,39,17,47,38,74,30,19,52
2010-10,21,52,37,31,43,41,85,24,21,62
2010-11,25,45,36,32,39,44,83,22,22,55
2010-12,23,37,32,24,34,35,69,24,17,40
2011-01,15,40,35,23,39,44,75,26,22,43
2011-02,26,46,35,30,37,39,80,30,21,51
2011-03,17,41,44,20,39,44,91,29,26,49
2011-04,28,38,36,20,36,35,91,31,31,44
2011-05,20,43,32,19,36,37,83,23,18,43
2011-06,16,33,38,20,34,32,86,31,23,40
2011-07,20,28,39,26,31,28,90,21,19,35
2011-08,12,32,25,21,30,24,75,26,20,37
2011-09,16,62,35,28,52,40,88,23,24,52
2011-10,20,56,38,29,45,41,88,29,21,60
2011-11,21,50,36,21,39,42,96,27,18,53
2011-12,10,32,30,16,34,32,83,25,21,42
2012-01,20,42,28,21,38,32,90,16,19,45
2012-02,22,48,31,27,38,34,96,27,23,54
2012-03,17,47,32,16,33,39,96,26,22,52
2012-04,23,42,30,20,35,33,99,28,20,45
2012-05,23,45,34,24,35,36,90,16,22,46
2012-06,19,38,26,17,30,33,92,15,22,43
2012-07,13,30,30,20,29,26,84,21,24,39
2012-08,15,32,32,18,28,24,80,22,23,38
2012-09,19,67,32,19,51,42,90,25,32,60
2012-10,26,51,33,19,46,44,95,30,17,66
2012-11,23,45,32,15,34,39,93,21,19,56
2012-12,15,36,24,17,30,30,75,18,13,45
2013-01,17,43,27,19,37,38,92,25,18,50
2013-02,20,38,31,14,39,41,97,32,27,58
2013-03,21,39,31,21,34,35,96,27,22,56
2013-04,20,37,33,17,32,41,100,38,19,53
2013-05,22,40,29,20,31,36,95,23,18,47
2013-06,15,28,31,20,30,28,83,26,20,47
2013-07,15,24,31,18,24,30,84,26,22,42
2013-08,16,31,28,18,26,29,76,17,15,42
2013-09,16,69,28,19,53,36,84,21,19,60
2013-10,25,60,29,15,47,41,95,28,18,73
2013-11,19,40,38,23,35,42,96,34,21,59
2013-12,15,37,26,13,29,32,74,21,18,50
2014-01,18,42,26,19,36,36,85,21,19,51
2014-02,24,45,32,16,39,36,93,42,23,61
2014-03,24,41,30,19,33,38,97,33,23,60
2014-04,20,40,29,17,34,37,92,28,19,56
2014-05,18,38,33,13,31,35,91,24,17,57
2014-06,19,30,25,19,29,31,84,40,21,50
2014-07,16,23,28,19,28,25,81,33,23,45
2014-08,14,32,27,14,29,24,73,15,20,45
2014-09,21,82,28,17,59,42,87,31,16,66
2014-10,25,59,33,16,49,52,89,23,17,76
2014-11,18,39,26,17,39,41,94,31,22,64
2014-12,15,39,24,20,33,34,79,24,19,55
2015-01,15,41,26,17,38,33,80,30,21,55
2015-02,23,41,32,21,39,41,90,34,23,65
2015-03,20,39,30,21,34,41,93,30,23,65
2015-04,19,37,29,15,33,35,92,40,17,57
2015-05,17,33,28,20,33,32,89,23,18,54
2015-06,15,27,23,14,32,28,80,25,19,49
2015-07,12,20,21,13,25,23,77,28,23,46
2015-08,12,31,21,13,28,23,74,26,22,47
2015-09,19,83,24,20,63,40,81,28,18,69
2015-10,22,65,24,22,53,42,84,27,23,83
2015-11,21,43,24,16,42,42,87,29,21,68
2015-12,19,39,24,10,35,35,74,30,17,58
2016-01,12,44,26,22,40,38,84,35,14,59
2016-02,20,46,29,17,43,43,94,30,20,73
2016-03,19,44,29,18,36,41,96,26,25,64
2016-04,25,38,23,21,34,41,99,36,21,62
2016-05,20,36,25,18,31,34,95,39,26,58
2016-06,13,30,26,13,30,35,89,26,20,52
2016-07,13,21,20,9,24,27,79,21,19,44
2016-08,13,38,19,13,29,27,78,34,20,48
2016-09,13,81,24,16,65,35,85,21,12,76
2016-10,19,62,28,14,48,48,84,28,18,90
2016-11,22,46,29,18,40,49,87,23,16,75
2016-12,19,39,24,16,35,32,78,20,20,62
2017-01,16,44,25,17,40,38,86,30,23,66
2017-02,18,46,29,20,42,48,95,34,20,78
2017-03,23,41,28,15,35,52,99,35,21,76
2017-04,19,42,28,14,34,47,97,30,15,64
2017-05,13,38,29,17,33,38,90,36,19,62
2017-06,15,28,24,14,27,28,75,27,17,57
2017-07,14,21,19,11,22,25,73,35,16,52
2017-08,13,40,22,8,30,24,71,37,14,51
2017-09,15,74,20,13,60,43,73,24,16,75
2017-10,20,67,22,15,53,46,86,28,16,97
2017-11,18,47,24,16,40,50,87,40,24,78
2017-12,16,39,18,10,35,39,75,31,15,62
2018-01,14,41,19,16,36,39,79,27,16,67
2018-02,17,44,23,18,37,42,87,42,19,77
2018-03,18,39,19,13,30,44,86,29,18,71
2018-04,19,38,26,18,31,42,90,43,15,65
2018-05,13,37,21,15,29,34,80,35,19,62
2018-06,11,26,23,13,23,27,69,27,15,59
2018-07,12,19,16,8,21,23,66,33,15,53
2018-08,13,37,20,11,29,30,66,23,17,57
2018-09,20,75,20,10,57,43,71,25,16,85
2018-10,16,59,22,12,49,45,75,33,19,100
2018-11,19,42,18,13,35,49,75,25,17,80
